iter	RMSE
0	2090.738837
1	2057.152015
2	2025.757765
3	1993.024105
4	1963.210548
5	1936.469617
6	1912.03838
7	1870.291779
8	1839.964275
9	1811.955774
10	1784.626038
11	1754.372633
12	1731.153627
13	1702.834391
14	1673.420729
15	1656.136683
16	1631.997316
17	1610.300858
18	1580.747441
19	1563.713745
20	1547.666298
21	1524.461261
22	1507.173448
23	1487.392824
24	1469.131531
25	1452.698993
26	1437.777332
27	1410.071577
28	1391.521526
29	1371.211991
30	1352.46229
31	1337.553977
32	1319.223694
33	1302.966991
34	1282.61836
35	1267.789156
36	1254.639303
37	1236.039081
38	1216.873402
39	1203.416906
40	1188.193482
41	1175.427434
42	1161.636713
43	1147.91817
44	1135.765727
45	1123.844027
46	1108.776537
47	1091.120452
48	1076.000456
49	1063.691393
50	1049.137372
51	1037.713324
52	1025.113994
53	1015.64782
54	1001.011801
55	992.2237072
56	977.9483038
57	964.3280625
58	955.0383636
59	940.5335394
60	932.6321546
61	921.5391274
62	911.7107791
63	897.4578134
64	887.8245014
65	879.3037652
66	867.9869327
67	858.1477708
68	843.2486409
69	830.7769562
70	823.9614798
71	812.6435446
72	801.7153968
73	790.3358735
74	778.3022448
75	764.4402434
76	753.8534055
77	742.67947
78	731.0804574
79	719.175438
80	706.2226575
81	697.2762111
82	688.2804344
83	678.98627
84	668.6482982
85	659.37299
86	650.293381
87	639.0323509
88	629.4709468
89	618.4913885
90	610.0134469
91	601.3647942
92	592.1355306
93	584.0470361
94	572.7116452
95	564.5079496
96	554.5566981
97	546.8253951
98	537.2126474
99	528.372928
100	519.2184378
101	510.5913758
102	503.1235771
103	495.6263682
104	485.3500889
105	476.2890417
106	471.519364
107	461.9786039
108	452.0581692
109	441.8614207
110	433.910407
111	426.4019536
112	419.605698
113	412.5220379
114	404.6664258
115	397.4200906
116	390.2495104
117	385.1848299
118	378.7716456
119	372.6823996
120	365.4247228
121	359.518701
122	353.6681639
123	346.534231
124	340.6675072
125	334.6647064
126	328.0929786
127	322.5377051
128	316.6169915
129	310.3119617
130	305.1113961
131	299.2130822
132	294.108186
133	288.6873279
134	286.2216961
135	281.5915161
136	276.6482913
137	274.7253645
138	269.9933767
139	265.7405779
140	261.0250445
141	258.8424849
142	256.7898598
143	254.6418818
144	249.9413567
145	245.1144625
146	240.9147541
147	239.2871023
148	235.3101112
149	233.8922944
150	232.35411
151	229.0045259
152	225.8038639
153	224.3378363
154	220.2535494
155	216.1178034
156	212.1955431
157	209.230898
158	206.1136869
159	204.5711063
160	200.7413506
161	197.4024585
162	196.1429856
163	194.9162678
164	193.7215314
165	190.2158413
166	186.3756704
167	183.6672917
168	181.2069531
169	178.7403385
170	175.1857064
171	172.4734172
172	169.7301589
173	166.5558041
174	165.6070339
175	162.674066
176	160.1381926
177	158.9706794
178	155.7188463
179	154.5981402
180	152.2455144
181	151.4087845
182	149.1344912
183	148.2479302
184	145.4072787
185	143.2350994
186	142.4647115
187	140.0333287
188	137.258476
189	135.222799
190	134.5125875
191	132.1364886
192	129.5611411
193	127.5902438
194	125.5653916
195	123.7230988
196	121.933904
197	119.9326141
198	119.2261664
199	118.5382901
200	116.9028228
201	115.0079109
202	114.4977828
203	112.2819012
204	110.7526476
205	109.1253687
206	106.6815839
207	106.1422807
208	104.0687536
209	102.7870971
210	100.8684063
211	99.40081524
212	97.97462687
213	96.1291729
214	94.77414256
215	92.72092765
216	92.25416896
217	91.04301512
218	89.30811653
219	87.6511209
220	86.48716296
221	84.86759232
222	83.09444805
223	82.02809825
224	80.63465105
225	79.29965144
226	77.91151647
227	76.47303843
228	75.23044347
229	74.2668547
230	73.44219496
231	72.10406172
232	70.86216694
233	69.62348107
234	68.73947422
235	67.8820822
236	66.99091395
237	66.11601394
238	64.99535502
239	63.77237429
240	62.95953964
241	61.76697222
242	60.98925994
243	59.85645736
244	59.03641252
245	58.30450639
246	57.30007079
247	56.43132461
248	55.42968436
249	54.76049858
250	53.97257578
251	53.34036852
252	52.46545822
253	51.67656765
254	50.65920141
255	50.19588765
256	49.48876721
257	48.60716043
258	48.06798537
259	47.14339023
260	46.39997278
261	45.59503644
262	45.19714797
263	44.64323872
264	43.88252691
265	43.35634002
266	42.63246239
267	42.04525497
268	41.45887718
269	40.78785052
270	40.31851905
271	39.7827587
272	39.33394492
273	38.81612218
274	38.21816834
275	37.65326378
276	37.06685281
277	36.56062268
278	36.00551243
279	35.5252706
280	35.04104877
281	34.5206307
282	34.00703091
283	33.46811695
284	32.97287951
285	32.52594084
286	32.10689616
287	31.70356529
288	31.28978703
289	30.80282637
290	30.42537706
291	30.29281884
292	29.87517859
293	29.74634598
294	29.42512052
295	29.03285949
296	28.88665098
297	28.4442166
298	28.30307358
299	27.93303352
300	27.61102248
301	27.28166666
302	27.16911882
303	26.86525101
304	26.62684203
305	26.33684619
306	25.90092254
307	25.79569085
308	25.6926898
309	25.30121947
310	25.20125468
311	24.98356087
312	24.61039453
313	24.37876175
314	24.12996208
315	23.92599365
316	23.67090131
317	23.37559648
318	22.97429672
319	22.70636691
320	22.41110972
321	22.15731096
322	21.87513241
323	21.53239104
324	21.27905157
325	20.95700987
326	20.7151387
327	20.49590796
328	20.1018704
329	19.931413
330	19.70867624
331	19.54710249
332	19.42441698
333	19.1297129
334	18.93019383
335	18.70666682
336	18.40354726
337	18.12305427
338	17.77873314
339	17.70830376
340	17.63935796
341	17.36475998
342	17.10069602
343	16.81312461
344	16.60603109
345	16.47366616
346	16.39919057
347	16.14218853
348	15.96467227
349	15.78799073
350	15.60782256
351	15.37944181
352	15.15432215
353	14.93581219
354	14.71170497
355	14.54715103
356	14.38851075
357	14.22997171
358	14.07023489
359	13.99986281
360	13.78329946
361	13.71530869
362	13.60604719
363	13.40624054
364	13.30659172
365	13.03552767
366	12.79860099
367	12.62180916
368	12.45573251
369	12.32330271
370	12.16573969
371	11.98532117
372	11.88275773
373	11.68941878
374	11.51892533
375	11.37251815
376	11.20733719
377	11.14925644
378	11.03628375
379	10.99345814
380	10.81566619
