iter	Passed	Remaining
0	1	499
1	1	445
2	2	426
3	3	412
4	4	404
5	4	400
6	5	395
7	6	393
8	7	390
9	7	387
10	8	386
11	9	383
12	10	380
13	10	379
14	11	377
15	12	376
16	13	374
17	14	375
18	14	375
19	15	377
20	16	378
21	17	377
22	18	376
23	18	374
24	19	373
25	20	372
26	21	371
27	22	370
28	22	369
29	23	367
30	24	367
31	25	367
32	25	367
33	26	367
34	27	366
35	28	365
36	29	367
37	30	366
38	30	365
39	31	364
40	32	363
41	33	363
42	34	363
43	34	362
44	35	361
45	36	360
46	37	359
47	38	358
48	38	356
49	39	356
50	40	354
51	41	354
52	41	352
53	42	352
54	43	351
55	44	351
56	45	350
57	45	349
58	46	347
59	47	346
60	48	345
61	48	344
62	49	343
63	50	343
64	51	342
65	51	341
66	52	340
67	53	339
68	54	338
69	54	337
70	55	336
71	56	335
72	57	334
73	57	333
74	58	332
75	59	332
76	60	331
77	61	331
78	61	330
79	62	329
80	63	328
81	64	327
82	65	326
83	65	325
84	66	325
85	67	324
86	68	323
87	68	321
88	69	320
89	70	319
90	70	318
91	71	316
92	72	315
93	72	314
94	73	312
95	74	311
96	74	310
97	75	309
98	76	308
99	76	307
100	77	307
101	78	305
102	79	304
103	79	303
104	80	302
105	81	301
106	81	300
107	82	299
108	83	297
109	83	296
110	84	295
111	85	294
112	85	293
113	86	292
114	86	291
115	87	290
116	88	289
117	88	287
118	89	286
119	90	286
120	91	285
121	91	284
122	92	283
123	92	281
124	93	280
125	94	279
126	94	278
127	95	277
128	96	276
129	96	275
130	97	274
131	98	273
132	98	272
133	99	271
134	100	270
135	100	269
136	101	268
137	102	267
138	102	266
139	103	265
140	103	264
141	104	263
142	105	263
143	105	262
144	106	261
145	107	260
146	108	259
147	108	258
148	109	257
149	110	256
150	110	255
151	111	254
152	112	254
153	112	253
154	113	252
155	113	251
156	114	250
157	115	249
158	115	248
159	116	247
160	117	246
161	117	245
162	118	245
163	119	244
164	119	243
165	120	242
166	121	241
167	121	240
168	122	239
169	123	238
170	123	237
171	124	237
172	125	236
173	125	235
174	126	235
175	127	234
176	128	233
177	128	233
178	129	232
179	130	231
180	130	230
181	131	229
182	132	228
183	132	228
184	133	227
185	134	226
186	135	226
187	135	225
188	136	224
189	137	224
190	138	223
191	138	222
192	139	221
193	140	221
194	140	220
195	141	219
196	142	218
197	142	217
198	143	217
199	144	216
200	144	215
201	145	214
202	146	213
203	146	213
204	147	212
205	148	211
206	148	210
207	149	209
208	150	208
209	150	208
210	151	207
211	152	206
212	152	205
213	153	205
214	154	204
215	154	203
216	155	202
217	156	202
218	156	201
219	157	200
220	158	199
221	158	198
222	159	198
223	160	197
224	160	196
225	161	195
226	162	195
227	162	194
228	163	193
229	164	192
230	164	191
231	165	191
232	166	190
233	166	189
234	167	188
235	168	188
236	168	187
237	169	186
238	170	185
239	170	185
240	171	184
241	172	183
242	172	182
243	173	181
244	174	181
245	174	180
246	175	179
247	175	178
248	176	178
249	177	177
250	177	176
251	178	175
252	179	174
253	179	174
254	180	173
255	181	172
256	182	172
257	182	171
258	183	170
259	184	169
260	184	169
261	185	168
262	186	167
263	186	166
264	187	166
265	188	165
266	189	164
267	189	164
268	190	163
269	191	162
270	191	161
271	192	161
272	193	160
273	193	159
274	194	159
275	194	158
276	195	157
277	196	156
278	197	156
279	197	155
280	198	154
281	199	154
282	200	153
283	200	152
284	201	152
285	202	151
286	202	150
287	203	149
288	204	149
289	204	148
290	205	147
291	206	146
292	206	146
293	207	145
294	208	144
295	209	144
296	209	143
297	210	142
298	210	141
299	211	141
300	212	140
301	213	139
302	213	138
303	214	138
304	215	137
305	215	136
306	216	136
307	217	135
308	218	134
309	219	134
310	219	133
311	220	132
312	221	132
313	221	131
314	222	130
315	223	129
316	223	129
317	224	128
318	225	127
319	225	126
320	226	126
321	227	125
322	227	124
323	228	124
324	229	123
325	229	122
326	230	121
327	231	121
328	231	120
329	232	119
330	232	118
331	233	118
332	234	117
333	234	116
334	235	116
335	236	115
336	236	114
337	237	113
338	238	113
339	238	112
340	239	111
341	240	110
342	240	110
343	241	109
344	242	108
345	242	108
346	243	107
347	244	106
348	244	105
349	245	105
350	246	104
351	246	103
352	247	102
353	247	102
354	248	101
355	249	100
356	249	100
357	250	99
358	251	98
359	251	97
360	252	97
361	253	96
362	253	95
363	254	95
364	255	94
365	255	93
366	256	92
367	257	92
368	257	91
369	258	90
370	259	90
371	260	89
372	260	88
373	261	88
374	262	87
375	262	86
376	263	85
377	263	85
378	264	84
379	265	83
380	265	83
381	266	82
382	267	81
383	267	80
384	268	80
385	269	79
386	269	78
387	270	78
388	271	77
389	271	76
390	272	75
391	273	75
392	273	74
393	274	73
394	275	73
395	275	72
396	276	71
397	277	71
398	277	70
399	278	69
400	279	68
401	279	68
402	280	67
403	281	66
404	281	66
405	282	65
406	282	64
407	283	63
408	284	63
409	284	62
410	285	61
411	286	61
412	286	60
413	287	59
414	288	59
415	288	58
416	289	57
417	290	56
418	290	56
419	291	55
420	292	54
421	292	54
422	293	53
423	294	52
424	294	52
425	295	51
426	295	50
427	296	49
428	297	49
429	297	48
430	298	47
431	299	47
432	299	46
433	300	45
434	301	45
435	301	44
436	302	43
437	303	42
438	303	42
439	304	41
440	305	40
441	305	40
442	306	39
443	307	38
444	307	38
445	308	37
446	309	36
447	309	35
448	310	35
449	311	34
450	312	33
451	312	33
452	313	32
453	314	31
454	314	31
455	315	30
456	316	29
457	316	29
458	317	28
459	318	27
460	319	26
461	319	26
462	320	25
463	321	24
464	322	24
465	322	23
466	323	22
467	323	22
468	324	21
469	325	20
470	326	20
471	326	19
472	327	18
473	328	18
474	328	17
475	329	16
476	330	15
477	330	15
478	331	14
479	332	13
480	332	13
481	333	12
482	334	11
483	334	11
484	335	10
485	336	9
486	336	8
487	337	8
488	338	7
489	338	6
490	339	6
491	340	5
492	340	4
493	341	4
494	342	3
495	342	2
496	343	2
497	344	1
498	344	0
499	345	0
