source_name,source_url,match_date,season,competition_name,stage,away_team,matchday,kickoff_time,attendance,home_team,stadium_name,stadium_capacity,is_home_match,result,goals_for,goals_against,opponent_name_raw,opponent_name_normalized
transfermarkt,https://www.transfermarkt.com/oud-heverlee-leuven/spielplan/verein/2727/saison_id/2017/plus/1,2017-08-05,2017/18,Challenger Pro League,,Lierse SK,1,08:30,4321,OH Leuven,King Power at Den Dreef Stadion,10200,True,2:2,2,2,Lierse SK,Lierse SK
transfermarkt,https://www.transfermarkt.com/oud-heverlee-leuven/spielplan/verein/2727/saison_id/2017/plus/1,2017-08-19,2017/18,Challenger Pro League,,Cercle Brugge,3,08:30,3720,OH Leuven,King Power at Den Dreef Stadion,10200,True,7:1,7,1,Cercle Brugge,Cercle Brugge
transfermarkt,https://www.transfermarkt.com/oud-heverlee-leuven/spielplan/verein/2727/saison_id/2017/plus/1,2017-09-08,2017/18,Challenger Pro League,,AFC Tubize,5,08:30,3000,OH Leuven,King Power at Den Dreef Stadion,10200,True,2:0,2,0,AFC Tubize,AFC Tubize
transfermarkt,https://www.transfermarkt.com/oud-heverlee-leuven/spielplan/verein/2727/saison_id/2017/plus/1,2017-09-24,2017/18,Challenger Pro League,,KFCO Beerschot,7,04:00,6407,OH Leuven,King Power at Den Dreef Stadion,10200,True,1:1,1,1,KFCO Beerschot,KFCO Beerschot
transfermarkt,https://www.transfermarkt.com/oud-heverlee-leuven/spielplan/verein/2727/saison_id/2017/plus/1,2017-09-30,2017/18,Challenger Pro League,,KSV Roeselare,8,05:00,4003,OH Leuven,King Power at Den Dreef Stadion,10200,True,2:0,2,0,KSV Roeselare,KSV Roeselare
transfermarkt,https://www.transfermarkt.com/oud-heverlee-leuven/spielplan/verein/2727/saison_id/2017/plus/1,2017-10-08,2017/18,Challenger Pro League,,Westerlo,10,06:00,4456,OH Leuven,King Power at Den Dreef Stadion,10200,True,2:1,2,1,KVC Westerlo,Westerlo
transfermarkt,https://www.transfermarkt.com/oud-heverlee-leuven/spielplan/verein/2727/saison_id/2017/plus/1,2017-10-28,2017/18,Challenger Pro League,,Union SG,13,08:30,5220,OH Leuven,King Power at Den Dreef Stadion,10200,True,1:0,1,0,Union SG,Union SG
transfermarkt,https://www.transfermarkt.com/oud-heverlee-leuven/spielplan/verein/2727/saison_id/2017/plus/1,2017-11-12,2017/18,Challenger Pro League,,KSV Roeselare,15,06:00,4060,OH Leuven,King Power at Den Dreef Stadion,10200,True,1:1,1,1,KSV Roeselare,KSV Roeselare
transfermarkt,https://www.transfermarkt.com/oud-heverlee-leuven/spielplan/verein/2727/saison_id/2017/plus/1,2017-12-03,2017/18,Challenger Pro League,,AFC Tubize,18,04:00,3856,OH Leuven,King Power at Den Dreef Stadion,10200,True,1:1,1,1,AFC Tubize,AFC Tubize
transfermarkt,https://www.transfermarkt.com/oud-heverlee-leuven/spielplan/verein/2727/saison_id/2017/plus/1,2017-12-15,2017/18,Challenger Pro League,,Lierse SK,20,08:30,5446,OH Leuven,King Power at Den Dreef Stadion,10200,True,2:1,2,1,Lierse SK,Lierse SK
transfermarkt,https://www.transfermarkt.com/oud-heverlee-leuven/spielplan/verein/2727/saison_id/2017/plus/1,2018-01-14,2017/18,Challenger Pro League,,Union SG,22,06:00,3700,OH Leuven,King Power at Den Dreef Stadion,10200,True,3:1,3,1,Union SG,Union SG
transfermarkt,https://www.transfermarkt.com/oud-heverlee-leuven/spielplan/verein/2727/saison_id/2017/plus/1,2018-01-26,2017/18,Challenger Pro League,,Westerlo,24,08:30,4420,OH Leuven,King Power at Den Dreef Stadion,10200,True,0:1,0,1,KVC Westerlo,Westerlo
