feature,importance
categorical__stage_Conference League Play-off Group,0.24241802096366882
numeric__attendance_last_3_avg,0.09936781227588654
categorical__season_2024/2025,0.08124843239784241
categorical__away_team_Club Brugge,0.080100879073143
categorical__away_team_Anderlecht,0.07597025483846664
categorical__weekday_name_Sunday,0.05751485750079155
numeric__attendance_last_match,0.05667964369058609
categorical__away_team_Standard Liège,0.03982240706682205
categorical__stage_Regular Season,0.03767634928226471
numeric__matchday,0.030740197747945786
numeric__month,0.02342756651341915
categorical__weekday_name_Tuesday,0.022729376330971718
categorical__away_team_Sporting Charleroi,0.014885680750012398
categorical__away_team_Zulte Waregem,0.013694141991436481
categorical__season_2022/2023,0.013068028725683689
numeric__kickoff_hour,0.01298915408551693
categorical__weekday_name_Saturday,0.011639242991805077
categorical__away_team_Antwerp,0.011448554694652557
categorical__away_team_Union Saint-Gilloise,0.011425516568124294
categorical__season_2023/2024,0.009344846941530704
categorical__away_team_KV Oostende,0.009207506664097309
categorical__away_team_Eupen,0.008940118364989758
categorical__away_team_Mechelen,0.007915753871202469
categorical__away_team_Sint-Truiden,0.0073107159696519375
categorical__away_team_Gent,0.005641719792038202
categorical__away_team_Cercle Brugge,0.004724556114524603
categorical__weekday_name_Friday,0.003721293294802308
categorical__away_team_Genk,0.0034456243738532066
categorical__away_team_Westerlo,0.0013692592037841678
categorical__away_team_Dender,0.0009941838216036558
