feature,importance
numeric__matchday,0.1740580588757605
numeric__ohl_interest,0.14553639385062642
categorical__season_2023/2024,0.12950390737636988
numeric__pct_free_tickets,0.08802154806902279
numeric__num_articles,0.07352882060939678
categorical__away_team_Anderlecht,0.06521290565470823
categorical__stage_Conference League Play-off Group,0.04264103288016221
numeric__weather_windspeed_max_kmh,0.04263259796279522
categorical__stage_Regular Season,0.04087982562223001
numeric__weather_temp_mean_c,0.040323892328790086
numeric__month,0.03359855129547099
numeric__avg_days_to_match,0.024165745962089483
numeric__weather_rain_mm,0.020036675778980134
categorical__away_team_Club Brugge,0.01620770296817036
numeric__kickoff_hour,0.015361114629779014
numeric__seasonpass_holders,0.009042628657201006
categorical__weekday_name_Sunday,0.007558210710073694
categorical__away_team_Standard Liège,0.0063501364066550145
numeric__promo_tickets_total,0.0050883635820814475
categorical__season_2024/2025,0.00335967332756461
categorical__weekday_name_Saturday,0.002145719935968045
categorical__is_weekend_False,0.0021316796286091834
categorical__is_school_holiday_flanders_True,0.0019155306066806026
categorical__is_school_holiday_flanders_False,0.001776355502109456
categorical__season_2022/2023,0.0013274869946816536
categorical__is_weekend_True,0.0013140864594722553
categorical__weekday_name_Friday,0.0010659089079566111
categorical__away_team_Mechelen,0.0007965853936575284
categorical__away_team_Antwerp,0.0005944335509265865
categorical__has_promotion_False,0.0005023916932798267
