model,mae,rmse,r2,mape,median_abs_error,max_abs_error,share_abs_error_le_500,share_abs_error_le_800,share_abs_error_le_1000
xgboost_log,691.7759513163114,946.5689444244912,0.15780681133124652,13.379518484886646,550.68170002841,2127.0581980049683,0.4,0.7333333333333333,0.7333333333333333
xgboost_raw,726.0639973958333,955.1486614806272,0.1424703129147572,14.148245166543433,715.36279296875,2012.2421875,0.4666666666666667,0.5333333333333333,0.8
random_forest_raw,756.0608942708083,977.6614970862653,0.10157000093872104,15.31127735037025,531.969594056568,1924.900211086985,0.4,0.6,0.7333333333333333
random_forest_log,777.8204540506148,951.0495637681727,0.14981483520023153,15.310208480882375,643.5544610778197,1845.2681169494872,0.4,0.6666666666666666,0.6666666666666666
xgboost_log_weighted,819.5231845722936,1020.574448626593,0.02096864007506616,15.77483999592529,587.7968951199427,2128.0244221762587,0.3333333333333333,0.5333333333333333,0.6666666666666666
weighted_blend_raw,1058.3717528741315,1546.5767807799434,-1.2482789406828694,19.841441770761428,504.90479315958055,4496.950601114393,0.4666666666666667,0.6,0.6
mean_baseline,1523.1380952380957,1748.7640548077823,-1.8745486088474812,30.122711287106373,1347.9285714285716,3123.9285714285716,0.13333333333333333,0.26666666666666666,0.3333333333333333
opponent_mean_baseline,1547.915238095238,1900.0341770990249,-2.393360865986469,29.031421588668987,1498.333333333334,3801.666666666666,0.2,0.26666666666666666,0.4666666666666667
linear_regression_log,2598.1701585020814,2824.316378615445,-6.497801011929935,46.009341461664626,2731.6198971429135,5397.036819962768,0.0,0.0,0.0
linear_regression_raw,3707.903811074663,3947.6550890488247,-13.6482459341728,65.75205006642261,3484.8669405755563,6062.0,0.0,0.0,0.0
